time;hr
1508116020;51
1508116140;66
1508116260;67
1508116380;68
1508116500;54
1508116620;61
1508116740;55
1508116860;73
1508116980;66
1508117100;57
1508117220;68
1508117460;62
1508117580;71
1508117700;62
1508117820;57
1508117940;52
1508118060;56
1508118180;59
1508118300;58
1508118420;63
1508118540;64
1508118660;58
1508118780;57
1508118900;67
1508119140;52
1508119260;48
1508119380;56
1508119500;58
1508119620;52
1508119740;46
1508120100;49
1508120220;51
1508120460;46
1508120580;51
1508120700;51
1508120820;49
1508120940;52
1508121180;44
1508121300;54
1508121420;56
1508121540;49
1508121660;57
1508121780;48
1508122140;52
1508122260;53
1508122380;65
1508122620;52
1508122740;52
1508122860;55
1508122980;71
1508123100;96
1508123220;63
1508123340;56
1508123460;65
1508123700;66
1508123820;62
1508124060;58
1508124180;63
1508124300;46
1508124420;49
1508124540;78
1508124660;67
1508124900;56
1508125020;53
1508125380;56
1508125620;62
1508125740;53
1508125860;44
1508125980;57
1508126100;51
1508126220;54
1508126460;52
1508126580;41
1508126700;58
1508126820;58
1508126940;55
1508127060;73
1508127180;58
1508127300;61
1508127420;55
1508127540;52
1508127660;49
1508128020;48
1508128140;51
1508128260;44
1508128380;51
1508128500;56
1508128620;55
1508128860;55
1508128980;73
1508129100;51
1508129220;86
1508129460;52
1508129580;51
1508129700;62
1508129820;67
1508129940;51
1508130060;63
1508130180;62
1508130420;47
1508130660;55
1508130780;63
1508130900;52
1508131020;68
1508131140;42
1508131260;44
1508131380;75
1508131500;62
1508132340;76
1508132460;69
1508166900;61
1508167020;58
1508167140;68
1508167260;69
1508167380;75
1508167500;53
1508167620;51
1508167740;57
1508167860;61
1508167980;91
1508168100;54
1508168220;83
1508168340;87
1508168460;75
1508168580;72
1508168700;66
1508168820;67
1508168940;72
1508169060;77
1508169180;63
1508169300;63
1508169420;73
1508169540;71
1508169660;67
1508169780;75
1508169900;66
1508170020;63
1508170140;74
1508170260;65
1508170500;71
1508170620;67
1508170740;68
1508194860;63
1508194980;68
1508195100;61
1508195220;93
1508195340;65
1508195460;63
1508195580;61
1508195700;63
1508195820;62
1508195940;64
1508196060;57
1508196180;62
1508196300;67
1508196420;66
1508196540;67
1508196660;69
1508196900;68
1508197260;71
1508197380;65
1508197500;86
1508197620;75
1508197740;54
1508197860;63
1508198100;51
1508198220;77
1508198340;57
1508198460;54
1508198820;59
1508198940;63
1508199060;57
1508199180;61
1508199300;56
1508199420;63
1508199540;57
1508199660;53
1508199780;56
1508199900;57
1508200020;65
1508200140;64
1508200260;65
1508200380;55
1508200500;66
1508200740;61
1508200860;52
1508200980;62
1508201100;55
1508201220;62
1508201340;49
1508201460;61
1508201580;57
1508201700;57
1508201820;55
1508201940;56
1508202060;53
1508202180;49
1508202300;57
1508202420;62
1508202540;48
1508202660;61
1508203020;62
1508203140;68
1508203260;48
1508203860;57
1508204340;61
1508204580;62
1508204820;63
1508204940;68
1508205060;58
1508205180;63
1508205300;65
1508205420;42
1508205540;49
1508205660;51
1508205780;48
1508205900;56
1508206020;45
1508206140;47
1508206260;45
1508206380;56
1508206500;49
1508206620;53
1508206740;69
1508206860;47
1508206980;64
1508207100;46
1508207220;47
1508207340;46
1508207460;38
1508207580;47
1508207700;49
1508207820;54
1508207940;51
1508208060;52
1508208180;54
1508208420;54
1508208540;52
1508208660;46
1508208780;58
1508208900;56
1508209020;63
1508209140;77
1508209260;54
1508209500;74
1508372280;53
1508372400;44
1508372520;48
1508372640;52
1508372760;45
1508372880;52
1508373000;49
1508373120;49
1508373240;51
1508373360;54
1508373480;48
1508373720;52
1508373840;46
1508373960;49
1508374080;51
1508374200;51
1508374320;52
1508374440;42
1508374800;55
1508374920;51
1508375040;51
1508375160;64
1508375280;66
1508375400;65
1508375520;59
1508375640;45
1508375760;46
1508375880;47
1508376000;48
1508376120;52
1508376240;43
1508376360;51
1508376600;48
1508376720;47
1508376840;49
1508376960;47
1508377080;49
1508377200;48
1508377320;51
1508377440;51
1508377560;53
1508377680;45
1508377800;59
1508378160;47
1508378280;49
1508378400;46
1508378520;61
1508378640;45
1508378760;47
1508378880;45
1508379000;44
1508379120;46
1508379240;48
1508379360;49
1508379480;41
1508379600;69
1508379720;43
1508379840;45
1508379960;47
1508380080;59
1508380200;42
1508380440;56
1508380680;59
1508380800;46
